contrast	0.999341011047	76.728515625	-6.43496704102	534.658935547	293.046447754
artifact	0.998661875725	289.813192368	30.3736858368	342.700540543	82.4993534088
artifact	0.996828377247	392.714191437	48.4904594421	451.130962372	106.430347443
artifact	0.995461583138	137.818994522	15.6068191528	178.25330162	40.6228866577
artifact	0.988893866539	97.486700058	59.1943540573	134.496088028	88.9533967972
artifact	0.984430551529	299.303884506	475.594205856	358.978830338	511.124055862
artifact	0.873075842857	42.2961387634	105.090866089	111.369007111	204.072891235
artifact	0.821579158306	377.129430771	107.868869781	412.131494522	163.914302826
artifact	0.198284611106	46.6013832092	112.387058258	125.472805023	164.351436615
artifact	0.107797376812	272.773715973	323.292173386	360.37594223	367.515199661
blur	0.0860400572419	107.932510376	9.63055419922	543.202316284	319.832366943
artifact	0.0730616897345	55.1018238068	474.700491905	118.118864059	506.416085243
specularity	0.0563007369637	42.6523475647	101.88458252	108.344051361	230.191253662
artifact	0.0511666312814	305.565177917	138.799385071	350.566841125	170.01537323
