artifact	0.913254380226	390.70599556	1.72791290283	437.8819561	77.4680709839
artifact	0.548223257065	334.607756615	392.553565979	358.327912331	455.530723572
specularity	0.412281453609	328.225121498	78.6778068542	359.516089439	135.438922882
artifact	0.237334161997	5.54782485962	215.617156982	31.6967964172	305.030731201
artifact	0.183802992105	119.502461433	328.978675842	148.360484123	519.982505798
specularity	0.18020889163	426.551713943	434.329393387	486.85801506	489.184034348
specularity	0.144790425897	495.636411667	400.861841202	510.529726028	438.109045029
artifact	0.118301965296	420.012129784	317.952854156	437.384232521	426.898647308
artifact	0.0940975993872	415.150150299	418.386184692	498.760555267	500.324874878
artifact	0.0783666968346	362.053086281	435.833452225	391.577223778	483.938398361
artifact	0.0530367568135	46.2095384598	332.795276642	67.6483259201	414.386425018
