artifact	106.0	350.0	158.0	395.0
artifact	86.0	387.0	120.0	416.0
artifact	40.0	332.0	69.0	374.0
artifact	71.0	304.0	117.0	357.0
artifact	177.0	173.0	211.0	210.0
artifact	199.0	211.0	242.0	249.0
artifact	142.0	247.0	222.0	311.0
artifact	83.0	237.0	144.0	281.0
artifact	137.0	203.0	174.0	239.0
artifact	305.0	340.0	350.0	400.0
artifact	310.0	198.0	359.0	326.0
artifact	240.0	64.0	337.0	117.0
artifact	298.0	118.0	347.0	179.0
artifact	252.0	169.0	293.0	213.0
artifact	251.0	250.0	300.0	320.0
artifact	225.0	335.0	260.0	362.0
artifact	252.0	445.0	285.0	482.0
artifact	364.0	476.0	413.0	508.0
artifact	463.0	298.0	510.0	431.0
artifact	224.0	494.0	249.0	510.0
artifact	12.0	310.0	29.0	334.0
artifact	33.0	3.0	326.0	42.0
artifact	372.0	6.0	436.0	70.0
contrast	272.0	32.0	505.0	502.0
