artifact	153.0	378.0	199.0	418.0
artifact	101.0	321.0	129.0	376.0
saturation	8.0	3.0	211.0	93.0
bubbles	348.0	402.0	382.0	426.0
bubbles	351.0	435.0	380.0	454.0
bubbles	334.0	458.0	356.0	480.0
bubbles	27.0	391.0	128.0	506.0
bubbles	86.0	121.0	127.0	143.0
bubbles	168.0	122.0	212.0	160.0
bubbles	293.0	199.0	375.0	256.0
specularity	271.0	369.0	311.0	435.0
specularity	212.0	398.0	245.0	453.0
specularity	226.0	460.0	267.0	486.0
specularity	158.0	423.0	204.0	475.0
specularity	131.0	368.0	155.0	415.0
bubbles	184.0	282.0	221.0	312.0
