specularity	439.0	335.0	484.0	431.0
specularity	231.0	24.0	300.0	89.0
specularity	131.0	221.0	181.0	264.0
specularity	108.0	182.0	138.0	208.0
specularity	106.0	336.0	170.0	414.0
specularity	233.0	438.0	385.0	474.0
specularity	354.0	240.0	406.0	307.0
specularity	308.0	142.0	354.0	220.0
specularity	133.0	2.0	192.0	73.0
specularity	156.0	94.0	190.0	133.0
specularity	313.0	3.0	363.0	75.0
specularity	365.0	5.0	417.0	84.0
specularity	73.0	109.0	110.0	165.0
specularity	425.0	264.0	482.0	333.0
specularity	208.0	482.0	387.0	509.0
artifact	31.0	344.0	66.0	404.0
artifact	25.0	440.0	62.0	492.0
artifact	25.0	234.0	54.0	307.0
