artifact	422.0	434.0	448.0	497.0
artifact	377.0	125.0	418.0	193.0
artifact	450.0	159.0	472.0	208.0
artifact	6.0	0.0	239.0	501.0
artifact	263.0	212.0	303.0	356.0
artifact	318.0	55.0	357.0	155.0
artifact	362.0	1.0	453.0	113.0
artifact	366.0	232.0	423.0	333.0
artifact	467.0	237.0	507.0	323.0
artifact	334.0	406.0	353.0	458.0
artifact	359.0	442.0	395.0	482.0
artifact	307.0	184.0	357.0	291.0
artifact	416.0	339.0	434.0	396.0
artifact	495.0	413.0	508.0	439.0
artifact	447.0	434.0	484.0	463.0
artifact	261.0	73.0	284.0	117.0
